name,price
机器学习 Python实践 魏贞原 Python机器学习入门图书 Python编程语言教,44.80
包邮 精通Python网络爬虫：核心技术、框架与项目实战+Python网络数据采集,99.80
Python树莓派编程 沃尔弗拉姆多纳特 树莓派python开发教程书 树莓派入门教程,39.80
Python机器学习 预测分析核心算法 计算机与互联网 书籍,44.80
正版包邮 Python机器学习经典实例,41.04
正版书籍 Python数据分析实战 Python编程语言教程书籍 深入pandas库数据处,46.00
教孩子学编程+轻松玩转Scratch编程+给孩子的人工智能图解 python编程入门教程,115.50
Python数据分析基础,78.30
Python核心编程(第3版 英文版) 计算机与互联网 书籍,70.30
Python参考手册（第4版·修订版）python学习手册核心编程,66.70
Python网络爬虫从入门到实践 唐松 陈智铨 机械工业出版社,38.80
Python3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南,73.80
Python数据分析实战,66.40
Python与有限元--基于Python编程的有限元分析及应用扩展,45.50
用Python写网络爬虫+Python网络数据采集+利用Python进行数据分析3本书籍,150.50
Python漫游指南（影印版 英文版）,69.50
官方正版 Python基础教程 十二五规划教材 人民邮电出版社 计算机编程语言与程序设计,34.20
Python+Spark 2.0+Hadoop机器学习与大数据实战,73.90
Python Web开发实战 python搭建web服务器 Python编程实践教程书 w,75.60
从零开始学Python程序设计,65.20
机器人系统设计与制作：Python语言实现 计算机与互联网 书箱|5386910,38.90
Python编程入门(第3版 ) 计算机与互联网 书籍,28.10
64654|正版现货Python机器学习实践:测试驱动的开发方法 Python程序设计书,42.80
Maya Python 游戏与影视编程指南,62.30
Python编程-从入门到实践 从基本概念到完整项目开发 帮助零基础读者迅速掌握Pyth,66.80
Python编程 从入门到实践,73.00
Python基础教程（第3版）,84.20
Python零基础入门学习-水木书荟,39.10
Python核心编程（第3版）,81.20
利用Python进行数据分析,73.80
Python编程快速上手 让繁琐工作自动化,58.00
Python编程（第4版 套装上下册）,135.50
流畅的Python,118.20
Python 3.5从零开始学,46.60
“笨办法”学Python（第3版 附光盘1张）,40.20
Python基础教程(第3版·修订版) 编程语言入门自学图书  人民邮电正版授,79.00
Head First Python(中文版),44.90
包邮零基础入门学习Python 小甲鱼+Python高效开发实战  2本,103.00
量化投资：以Python为工具,79.00
"Python开发实战 [日]BePROUD股份有限公司,盛荣 9787115320896",45.03
Python硬件编程实战,35.30
Python数据分析与挖掘实战 Python核心编程 Python语言开发入门教程正版,55.10
Python+Spark 2.0+Hadoop机器学习与大数据实战 林大贵 计算机与互联,64.30
Python数据分析与数据化运营 计算机与互联网 书箱|6998727,69.30
利用Python进行数据分析 9787111436737,64.10
Python机器学习实战 裔隽等 计算机与互联网 书籍,49.00
自学Python——编程基础、科学计算及数据分析,60.80
Python大战机器学习+深度学习、优化与识别+TensorFlow实战+深度学习框架,259.00
包邮物联网Python开发实战+从芯片到云端:Python物联网全栈开发实践教程书,142.00
Python 网络爬虫实战 大数据ython快速入门书 python编程序设计,45.40
【包邮】Selenium WebDriver3.0 自动化测试框架实战指南 python语言版,51.80
Python数据分析实战,50.20
Python编程入门（第3版）,33.20
Python全栈数据工程师养成攻略（视频讲解版）,50.80
21天学通Python,47.10
【清华社直发】Python程序设计教程,40.60
笨办法学Python(附光盘第3版),43.40
Python学习从入门到实践,40.80
Python绝技 运用Python成为黑客 python编程教程书籍 python正版,59.80
Python黑帽子 黑客与渗透测试编程之道  Python基础教程 计算机网络编程书籍,39.80
数据科学实战手册 R+Python,46.50
贝叶斯思维 统计建模的Python学习法 计算机与互联网 书籍,30.90
包邮 量化交易之路+Python机器学习快速入门+大数据与量化交易+量化投资 4本,258.60
机器人Python极客编程入门与实战,49.40
Python绝技 运用Python成为很好黑客 计算机与互联网 书籍,49.00
教孩子学编程 Python语言版,39.80
包邮 机器人Python极客编程入门与实战+机器人系统设计与制作 Python语言实现,87.80
Python 3 基础教程 Python核心编程 Python入门自学,30.60
正版包邮 从零开始学Python网络爬虫,41.04
数据结构与算法：Python语言描述 计算机与互联网 书箱|4909472,29.70
Web程序员成功之路：Python Web开发学习实录（附DVD-ROM光盘1张）,52.80
笨办法学Python(附光盘第3版),43.40
21天学通Python-(含DVD光盘1张),38.87
包邮Python机器学习基础教程+Python数据科学手册,141.80
Python基础教程(第2版 修订版)+Python核心编程 第3版 Python学习畅,160.20
数据结构 Python语言描述,56.60
Python数据分析,45.40
O'Reilly：Python学习手册（第4版）,98.80
Head First Python（第二版）,80.80
Python网络数据采集,50.20
Python数据科学手册,92.70
教孩子学编程 Python语言版,50.20
算法图解,41.70
Python数据分析与挖掘实战,53.80
Python高性能编程 计算机与互联网 书籍,49.80
Python数据分析 计算机书籍 程序设计教程,47.20
Python树莓派编程 计算机与互联网 书箱|5006766,32.30
和孩子一起玩编程 趣学python 少儿编程真好玩 中小学编程入门书 青少年编程培训班教材,51.80
